id;permission_name;description;last_modified;last_modified_by
1;Chips Product;Grocery empower;2022-08-08T21:15:34;Berkshire
2;backing Plastic Associate;payment;2022-08-08T16:31:37;Guarani
3;payment Steel Re-engineered;generate back Pants;2022-08-09T06:44:38;Cambridgeshire Carolina
4;invoice;Health;2022-08-08T19:52:28;Computer Legacy
5;Stravenue transmitter e-commerce;Fish optimize streamline;2022-08-09T03:23:54;pink Dollar syndicate
6;silver payment;digital Executive;2022-08-09T04:28:38;Business-focused Michigan
7;Streets Web;Investment;2022-08-09T08:42:17;Avon Shirt Fresh
8;Ergonomic Rhode Crest;Granite;2022-08-09T07:52:45;RAM programming pixel
9;Illinois Implemented;Computers Manager;2022-08-09T07:19:33;Louisiana
10;Automotive;Sports Concrete;2022-08-08T21:13:46;Producer 24/7 California
