id;role_name;description;last_modified;last_modified_by
1;open-source Chief digital;optical port;2022-08-09T00:04:10;programming Implementation Spurs
2;Avon Executive;open-source Vermont;2022-08-09T01:25:18;up Place Technician
3;Rubber Dinar;Consultant Group Money;2022-08-08T19:41:07;Heights
4;red;Loan Incredible Technician;2022-08-09T02:08:33;methodology RSS
5;Saint feed connecting;Plain Account Direct;2022-08-08T12:43:18;toolset Avon Mauritius
6;mobile deposit;online;2022-08-08T21:12:51;Infrastructure Borders withdrawal
7;GB Account;calculate;2022-08-08T23:56:33;infrastructures
8;Automotive Pants;payment deposit;2022-08-08T21:56:45;Markets Group
9;virtual deposit;Rica Botswana programming;2022-08-09T05:31:20;Table
10;hack;Manager up Technician;2022-08-08T23:02:58;invoice
